Transaction ID,Customer ID,Gender,Age,Product Category,Price per Unit,Geography,Product name,Salesperson,Profit,Total Amount,Quantity,Order Date,Ship Date
936114,CUST1297,Female,24,Paper,18.07,"United States,Los Angeles,California",Xerox 225,Hannah Brown,9.33,19.44,3,2024-12-04,2024-12-10
881993,CUST3706,Female,37,Storage,178.76,"United States,San Francisco,California",Tennsco 6- and 18-Compartment Lockers,Charlie Davis,238.65,1325.85,5,2023-11-22,2023-11-27
776837,CUST6065,Female,24,Bookcases,410.24,"United States,San Francisco,California","O'Sullivan Elevations Bookcase, Cherry Finish",Diana Patel,3.93,334.0,3,2024-01-17,2024-01-23
420408,CUST9164,Female,64,Art,67.24,"United States,San Francisco,California",4009 Highlighters by Sanford,Hannah Brown,6.57,19.9,5,2024-09-09,2024-09-14
968759,CUST8430,Male,31,Appliances,223.85,"United States,Springfield,Oregon",Fellowes Mighty 8 Compact Surge Protector,Alice Johnson,6.49,64.86,4,2023-09-16,2023-09-23
386702,CUST3777,Male,35,Binders,42.86,"United States,Scottsdale,Arizona","GBC Standard Recycled Report Covers, Clear Plastic Sheets",Hannah Brown,-23.72,32.34,10,2023-03-16,2023-03-20
962443,CUST7806,Male,31,Paper,14.79,"United States,Scottsdale,Arizona","TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Bob Smith,19.62,56.06,4,2023-04-24,2023-04-30
729915,CUST4460,Male,22,Envelopes,73.58,"United States,Scottsdale,Arizona","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Charlie Davis,36.69,108.72,5,2024-11-06,2024-11-12
329319,CUST4401,Male,50,Bookcases,452.2,"United States,Scottsdale,Arizona",O'Sullivan 4-Shelf Bookcase in Odessa Pine,Alice Johnson,-320.6,181.47,5,2025-03-10,2025-03-16
258362,CUST8609,Female,19,Paper,18.24,"United States,Los Angeles,California","Wirebound Service Call Books, 5 1/2"" x 4""",Hannah Brown,9.29,19.36,2,2025-02-11,2025-02-15
379408,CUST4053,Female,36,Furnishings,29.67,"United States,Los Angeles,California","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Alice Johnson,5.79,19.3,2,2023-07-10,2023-07-16
446313,CUST4322,Male,42,Paper,15.1,"United States,Las Vegas,Nevada",Xerox 195,Charlie Davis,19.24,40.08,6,2023-12-22,2023-12-28
782872,CUST6298,Male,35,Storage,189.63,"United States,San Diego,California",Recycled Steel Personal File for Hanging File Folders,George Lee,14.31,57.23,1,2024-09-15,2024-09-20
194981,CUST9573,Female,48,Tables,43.1,"United States,San Diego,California",Balt Split Level Computer Training Table,Diana Patel,-16.65,333.0,3,2023-08-31,2023-09-07
555423,CUST8189,Female,38,Art,62.4,"United States,San Diego,California",Dixon Ticonderoga Core-Lock Colored Pencils,Alice Johnson,12.03,36.44,4,2024-02-04,2024-02-09
558305,CUST1541,Male,53,Bookcases,183.91,"United States,Mission Viejo,California","Sauder Facets Collection Library, Sky Alder Finish",Ethan Wright,3.42,290.67,2,2023-03-26,2023-03-30
701855,CUST4303,Female,18,Fasteners,17.26,"United States,San Diego,California",Staples,Diana Patel,5.8,12.35,5,2024-03-17,2024-03-22
983062,CUST4442,Female,47,Binders,43.94,"United States,Seattle,Washington",Ibico Laser Imprintable Binding System Covers,Diana Patel,27.25,83.84,2,2024-03-20,2024-03-26
906447,CUST7747,Female,61,Binders,27.37,"United States,Seattle,Washington",Avery Durable Poly Binders,Alice Johnson,4.31,13.27,3,2024-02-03,2024-02-07
500624,CUST6913,Male,41,Binders,55.93,"United States,San Diego,California",GBC Recycled Grain Textured Covers,Alice Johnson,29.01,82.9,3,2023-09-16,2023-09-19
211338,CUST2755,Female,40,Paper,17.05,"United States,San Diego,California","Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",George Lee,16.09,34.24,4,2024-05-01,2024-05-05
902033,CUST9162,Male,60,Binders,34.78,"United States,Escondido,California","GBC Standard Recycled Report Covers, Clear Plastic Sheets",Hannah Brown,6.04,17.25,2,2024-09-16,2024-09-21
742549,CUST6870,Male,19,Furnishings,44.58,"United States,North Las Vegas,Nevada","Master Caster Door Stop, Large Brown",George Lee,5.53,14.56,2,2023-06-23,2023-06-30
880568,CUST3416,Male,19,Chairs,15.43,"United States,Concord,California","Global Geo Office Task Chair, Gray",Alice Johnson,-24.29,129.57,2,2023-04-19,2023-04-23
516666,CUST3562,Male,49,Accessories,44.21,"United States,Seattle,Washington",Logitech G600 MMO Gaming Mouse,George Lee,86.39,239.97,3,2023-05-01,2023-05-06
682842,CUST7196,Female,24,Appliances,290.17,"United States,Seattle,Washington",Belkin 8 Outlet Surge Protector,Ethan Wright,22.95,81.96,2,2025-01-27,2025-01-31
933715,CUST7869,Male,26,Supplies,64.67,"United States,Seattle,Washington",Compact Automatic Electric Letter Opener,Alice Johnson,4.77,238.62,2,2023-10-02,2023-10-07
864210,CUST2440,Male,47,Binders,73.01,"United States,Seattle,Washington",Pressboard Data Binders by Wilson Jones,Hannah Brown,7.21,21.36,5,2024-05-20,2024-05-25
134931,CUST9713,Female,28,Paper,11.96,"United States,Los Angeles,California",Xerox 204,Fiona Green,6.22,12.96,2,2023-09-24,2023-09-28
211661,CUST8889,Male,45,Paper,10.74,"United States,Moreno Valley,California",Xerox 220,Ethan Wright,9.33,19.44,3,2024-02-28,2024-03-05
333130,CUST1771,Male,53,Paper,7.9,"United States,Medford,Oregon","Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Hannah Brown,11.1,32.9,4,2023-11-23,2023-11-29
849911,CUST3371,Male,37,Paper,10.92,"United States,Medford,Oregon","TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",George Lee,7.69,22.78,3,2025-01-06,2025-01-13
991854,CUST9220,Male,29,Chairs,30.22,"United States,Seattle,Washington",Global Deluxe High-Back Manager's Chair,George Lee,51.48,457.57,2,2023-08-05,2023-08-10
552855,CUST3112,Male,40,Tables,75.46,"United States,San Diego,California","Bevis Oval Conference Table, Walnut",Hannah Brown,-23.49,626.35,3,2023-10-31,2023-11-06
514310,CUST1575,Male,60,Chairs,51.63,"United States,Seattle,Washington","Global Push Button Manager's Chair, Indigo",Charlie Davis,5.48,48.71,1,2023-11-06,2023-11-13
120880,CUST6696,Female,28,Art,66.26,"United States,Seattle,Washington",Newell 330,Alice Johnson,4.66,17.94,3,2024-10-02,2024-10-05
244452,CUST4446,Male,51,Storage,139.07,"United States,Seattle,Washington","Carina 42""Hx23 3/4""W Media Storage Unit",Alice Johnson,4.86,242.94,3,2024-03-07,2024-03-10
285874,CUST6964,Female,19,Binders,65.55,"United States,Des Moines,Washington",Catalog Binders with Expanding Posts,Ethan Wright,33.64,107.65,2,2023-06-06,2023-06-13
968680,CUST3011,Female,25,Art,25.87,"United States,Seattle,Washington",Newell Chalk Holder,Bob Smith,9.5,20.65,5,2025-02-14,2025-02-19
539735,CUST8888,Male,48,Storage,112.28,"United States,Seattle,Washington","Contico 72""H Heavy-Duty Storage System",Bob Smith,0.0,204.9,5,2024-08-14,2024-08-20
250595,CUST5351,Male,53,Chairs,23.32,"United States,Seattle,Washington",Office Star - Task Chair with Contemporary Loop Arms,Charlie Davis,21.84,436.7,6,2024-03-23,2024-03-28
385639,CUST7492,Female,64,Chairs,91.72,"United States,Seattle,Washington","Global Leather and Oak Executive Chair, Black",Hannah Brown,54.18,481.57,2,2023-08-07,2023-08-12
290526,CUST6299,Female,43,Storage,189.11,"United States,Denver,Colorado",Tennsco 6- and 18-Compartment Lockers,Bob Smith,-15.91,636.41,3,2023-09-26,2023-10-03
658928,CUST9276,Female,59,Art,86.65,"United States,Denver,Colorado","BOSTON Ranger #55 Pencil Sharpener, Black",Hannah Brown,9.36,83.17,4,2023-08-27,2023-09-02
195934,CUST6136,Male,52,Art,27.78,"United States,Roseville,California",Economy #2 Pencils,Fiona Green,2.07,7.98,3,2024-08-26,2024-09-02
492432,CUST6976,Male,63,Paper,10.1,"United States,Huntington Beach,California",Xerox 1972,Ethan Wright,4.75,10.56,2,2023-09-11,2023-09-17
657732,CUST5254,Female,25,Art,48.51,"United States,Huntington Beach,California",Avery Hi-Liter Fluorescent Desk Style Markers,Bob Smith,1.25,3.38,1,2023-06-03,2023-06-10
927153,CUST9450,Male,29,Binders,54.27,"United States,Logan,Utah",GBC Wire Binding Combs,Diana Patel,11.17,33.09,4,2024-10-05,2024-10-10
195367,CUST8176,Male,61,Storage,141.97,"United States,Logan,Utah",Carina Double Wide Media Storage Towers in Natural & Black,Fiona Green,3.24,80.98,1,2024-08-04,2024-08-07
991702,CUST4656,Female,64,Accessories,35.85,"United States,Logan,Utah",ImationÂ 30456 USBÂ Flash DriveÂ 8GB,Alice Johnson,6.62,82.8,12,2024-12-29,2025-01-05
307137,CUST2422,Female,45,Storage,93.68,"United States,Logan,Utah",Staples,Hannah Brown,5.77,21.36,2,2024-05-12,2024-05-19
716871,CUST3028,Male,37,Binders,11.37,"United States,Logan,Utah","Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Ethan Wright,20.17,62.05,2,2023-04-16,2023-04-23
985527,CUST3092,Female,30,Bookcases,335.98,"United States,San Francisco,California","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Charlie Davis,70.49,1198.33,10,2024-10-15,2024-10-21
942046,CUST9747,Male,38,Furnishings,53.89,"United States,Burbank,California",Eldon Cleatmat Chair Mats for Medium Pile Carpets,Hannah Brown,14.43,111.0,2,2024-04-22,2024-04-25
564006,CUST2002,Male,52,Machines,11.41,"United States,Burbank,California",Swingline SM12-08 MicroCut Jam Free Shredder,George Lee,415.99,1279.97,4,2023-11-23,2023-11-29
377002,CUST9961,Female,53,Storage,70.18,"United States,Burbank,California",Tennsco 6- and 18-Compartment Lockers,Alice Johnson,334.11,1856.19,7,2023-12-10,2023-12-14
613756,CUST4726,Female,60,Paper,16.16,"United States,Tucson,Arizona",Xerox 1951,Alice Johnson,23.24,74.35,3,2023-10-25,2023-11-01
645600,CUST4553,Male,38,Chairs,75.45,"United States,Tucson,Arizona",Office Star - Mesh Screen back chair with Vinyl seat,Bob Smith,-35.36,314.35,3,2024-12-11,2024-12-16
349842,CUST8544,Male,42,Storage,185.03,"United States,Los Angeles,California",Economy Rollaway Files,Alice Johnson,85.9,330.4,2,2023-12-19,2023-12-22
